Cpd,Show/Hide,File,Label,RT,Base Peak,Area,Height,Width,Mining Algorithm
7,True,Sample_neg_3-2.d,Cpd 7: 12.624 112.8,12.624,112.8,580357,40163,0.353,Find by Integration
5,True,Blank_neg_1-2.d,Cpd 5: 12.632 132.5,12.632,132.5,571011,41296,0.504,Find by Integration
5,True,Sample_neg_1-1.d,Cpd 5: 12.685 355.0,12.685,355,161100,60519,0.104,Find by Integration
12,True,Sample_1-2.d,Cpd 12: 12.709 123.7,12.709,123.7,330289,248363,0.061,Find by Integration
7,True,Blank_1-2.d,Cpd 7: 12.724 123.8,12.724,123.8,197823,113105,0.053,Find by Integration
6,True,Sample_neg_2-3.d,Cpd 6: 12.729 133.0,12.729,133,279740,38528,0.251,Find by Integration
5,True,Sample_neg_1-2.d,Cpd 5: 12.760 354.9,12.76,354.9,246706,65694,0.135,Find by Integration
8,True,Sample_3-2.d,Cpd 8: 12.761 123.8,12.761,123.8,12224202,487812,1.014,Find by Integration
11,True,Sample_3-3.d,Cpd 11: 12.821 352.3,12.821,352.3,5071030,420919,0.271,Find by Integration
20,True,Blank_01-1.d,Cpd 20: 12.965 254.0,12.965,254,340442,151114,0.098,Find by Integration
12,True,Sample_3-3.d,Cpd 12: 13.061 123.8,13.061,123.8,4061000,403597,0.541,Find by Integration
7,True,Sample_neg_1-3.d,Cpd 7: 13.091 354.9,13.091,354.9,220072,48266,0.126,Find by Integration
9,True,Sample_3-1.d,Cpd 9: 13.129 124.1,13.129,124.1,630002,551297,0.023,Find by Integration
21,True,Blank_01-1.d,Cpd 21: 13.168 253.8,13.168,253.8,2432738,245346,0.278,Find by Integration
10,True,Sample_3-1.d,Cpd 10: 13.197 123.8,13.197,123.8,1740569,437590,0.075,Find by Integration
7,True,Sample_2-3.d,Cpd 7: 13.227 124.0,13.227,124,986502,175266,0.158,Find by Integration
11,True,Sample_3-1.d,Cpd 11: 13.265 123.0,13.265,123,2527902,409028,0.113,Find by Integration
7,True,Blank_1-1.d,Cpd 7: 13.302 352.3,13.302,352.3,813016,137000,0.195,Find by Integration
9,True,Sample_2-2.d,Cpd 9: 13.370 231.7,13.37,231.7,343176,92704,0.075,Find by Integration
7,True,Sample_neg_2-1.d,Cpd 7: 13.384 354.8,13.384,354.8,156324,55070,0.087,Find by Integration
13,True,Sample_1-2.d,Cpd 13: 13.385 139.8,13.385,139.8,7638581,169479,0.909,Find by Integration
8,True,Sample_2-3.d,Cpd 8: 13.385 123.8,13.385,123.8,188164,167013,0.03,Find by Integration
4,True,Blank_neg_1-1.d,Cpd 4: 13.406 355.1,13.406,355.1,247974,62774,0.143,Find by Integration
9,True,Sample_2-1.d,Cpd 9: 13.408 123.8,13.408,123.8,2043004,268531,0.355,Find by Integration
6,True,Sample_neg_2-2.d,Cpd 6: 13.413 355.0,13.413,355,199624,56183,0.121,Find by Integration
9,True,Sample_2-3.d,Cpd 9: 13.468 232.0,13.468,232,8316369,195125,0.774,Find by Integration
14,True,Blank_01-2.d,Cpd 14: 13.490 123.7,13.49,123.7,581987,233662,0.15,Find by Integration
5,True,Sample_neg_3-1.d,Cpd 5: 13.519 355.2,13.519,355.2,203160,48024,0.113,Find by Integration
6,True,Blank_neg_1-2.d,Cpd 6: 13.533 355.0,13.533,355,268998,58360,0.188,Find by Integration
7,True,Sample_neg_2-3.d,Cpd 7: 13.534 354.9,13.534,354.9,234317,57327,0.158,Find by Integration
8,True,Blank_1-2.d,Cpd 8: 13.558 352.4,13.558,352.4,438068,179385,0.105,Find by Integration
8,True,Sample_neg_3-2.d,Cpd 8: 13.669 354.9,13.669,354.9,213999,46872,0.15,Find by Integration
7,True,Sample_neg_3-3.d,Cpd 7: 13.736 355.0,13.736,355,193057,56187,0.113,Find by Integration
4,True,Blank_neg_01-1.d,Cpd 4: 13.850 316.7,13.85,316.7,753655,64018,0.301,Find by Integration
6,True,Sample_neg_1-1.d,Cpd 6: 13.933 112.8,13.933,112.8,1984538,109404,0.688,Find by Integration
6,True,Blank_neg_01-2.d,Cpd 6: 13.940 112.7,13.94,112.7,1135818,85038,0.434,Find by Integration
9,True,Sample_3-2.d,Cpd 9: 13.963 140.1,13.963,140.1,916730,144379,0.158,Find by Integration
10,True,Sample_2-2.d,Cpd 10: 14.001 140.1,14.001,140.1,391470,142488,0.09,Find by Integration
6,True,Sample_neg_1-2.d,Cpd 6: 14.007 249.0,14.007,249,2217354,98451,0.766,Find by Integration
13,True,Sample_3-3.d,Cpd 13: 14.023 123.9,14.023,123.9,956486,93538,0.246,Find by Integration
8,True,Sample_neg_3-3.d,Cpd 8: 14.134 588.8,14.134,588.8,142651,49801,0.1,Find by Integration
